ws,ov,pos,md,wf1
50,25,L,4,0.880799542
50,50,L,4,0.891499341
50,75,L,5,0.910007998
150,25,R,4,0.793980268
100,25,R,5,0.853309271
100,50,R,5,0.870086924
100,75,R,5,0.870797722
150,50,R,5,0.881279008
150,75,R,5,0.893637623
50,25,R,5,0.837277566
50,50,R,5,0.831046322
50,75,R,5,0.830456321
100,25,C,4,0.836934465
100,50,C,4,0.862595080
100,75,C,4,0.828404321
150,25,C,4,0.888358537
150,75,C,4,0.819493539
150,50,C,4,0.869810246
50,25,C,5,0.811078214
50,50,C,5,0.810412106
50,75,C,5,0.841680795
100,25,L,4,0.913087520
100,50,L,4,0.920269117
100,75,L,4,0.929628942
150,25,L,4,0.910828882
150,50,L,4,0.938254433
150,75,L,4,0.940501529
50,25,L,4,0.872307184
50,50,L,4,0.853763911
50,75,L,5,0.916246128
150,25,R,4,0.829749540
100,25,R,5,0.842992109
100,50,R,5,0.868323327
100,75,R,5,0.883141426
150,50,R,5,0.878444205
150,75,R,5,0.896167950
50,25,R,5,0.813449768
50,50,R,5,0.819550494
50,75,R,5,0.823091759
100,25,C,4,0.802750273
100,50,C,4,0.830520015
100,75,C,4,0.855157631
150,25,C,4,0.863220815
150,75,C,4,0.858909969
150,50,C,4,0.801873965
50,25,C,5,0.831251339
50,50,C,5,0.827640557
50,75,C,5,0.844758748
100,25,L,4,0.936989541
100,50,L,4,0.929443121
100,75,L,4,0.934303221
150,25,L,4,0.899712202
150,50,L,4,0.940493295
150,75,L,4,0.943956998
50,25,L,4,0.848753301
50,50,L,4,0.867256239
50,75,L,5,0.902294008
150,25,R,4,0.806387460
100,25,R,5,0.862812989
100,50,R,5,0.855855323
100,75,R,5,0.870034078
150,50,R,5,0.848170124
150,75,R,5,0.881828894
50,25,R,5,0.809449991
50,50,R,5,0.844240935
50,75,R,5,0.825916420
100,25,C,4,0.833589313
100,50,C,4,0.871499047
100,75,C,4,0.857728958
150,25,C,4,0.878553759
150,75,C,4,0.836271507
150,50,C,4,0.881907100
50,25,C,5,0.831515102
50,50,C,5,0.819722963
50,75,C,5,0.830414003
100,25,L,4,0.914276501
100,50,L,4,0.936320211
100,75,L,4,0.915337275
150,25,L,4,0.969241300
150,50,L,4,0.934831405
150,75,L,4,0.935287070
50,25,L,4,0.855512013
50,50,L,4,0.845585745
50,75,L,5,0.894715480
150,25,R,4,0.805326436
100,25,R,5,0.838951075
100,50,R,5,0.861682510
100,75,R,5,0.885124673
150,50,R,5,0.900484294
150,75,R,5,0.875762383
50,25,R,5,0.856052427
50,50,R,5,0.838681981
50,75,R,5,0.832800028
100,25,C,4,0.821593226
100,50,C,4,0.864934401
100,75,C,4,0.829916243
150,25,C,4,0.871732172
150,75,C,4,0.858741413
150,50,C,4,0.811597117
50,25,C,5,0.842375329
50,50,C,5,0.822299838
50,75,C,5,0.813394684
100,25,L,4,0.911195070
100,50,L,4,0.928891898
100,75,L,4,0.925663989
150,25,L,4,0.940706190
150,50,L,4,0.943335464
150,75,L,4,0.945343003
50,25,L,4,0.875641163
50,50,L,4,0.870796413
50,75,L,5,0.911171738
150,25,R,4,0.838898876
100,25,R,5,0.863053788
100,50,R,5,0.859586328
100,75,R,5,0.858963545
150,50,R,5,0.886177561
150,75,R,5,0.856207803
50,25,R,5,0.801808290
50,50,R,5,0.804778466
50,75,R,5,0.823760576
100,25,C,4,0.843615065
100,50,C,4,0.859671632
100,75,C,4,0.848809218
150,25,C,4,0.844422597
150,75,C,4,0.788855921
150,50,C,4,0.882321912
50,25,C,5,0.829694585
50,50,C,5,0.839390269
50,75,C,5,0.830822250
100,25,L,4,0.926870361
100,50,L,4,0.925254219
100,75,L,4,0.928858789
150,25,L,4,0.958396822
150,50,L,4,0.941726111
150,75,L,4,0.938798640
50,25,L,4,0.867250350
50,50,L,4,0.853550739
50,75,L,5,0.925972052
150,25,R,4,0.802919258
100,25,R,5,0.878144984
100,50,R,5,0.860579006
100,75,R,5,0.876619557
150,50,R,5,0.880466072
150,75,R,5,0.889282263
50,25,R,5,0.823758060
50,50,R,5,0.813180946
50,75,R,5,0.827626802
100,25,C,4,0.862257760
100,50,C,4,0.859272009
100,75,C,4,0.826815385
150,25,C,4,0.869096120
150,75,C,4,0.842650775
150,50,C,4,0.852610377
50,25,C,5,0.834407999
50,50,C,5,0.834386252
50,75,C,5,0.846159646
100,25,L,4,0.929395271
100,50,L,4,0.930473278
100,75,L,4,0.927839561
150,25,L,4,0.928897559
150,50,L,4,0.956076261
150,75,L,4,0.937774934
50,25,L,4,0.840220749
50,50,L,4,0.839660179
50,75,L,5,0.912714564
150,25,R,4,0.790592760
100,25,R,5,0.844860655
100,50,R,5,0.875432424
100,75,R,5,0.849989977
150,50,R,5,0.875247486
150,75,R,5,0.904253424
50,25,R,5,0.813739842
50,50,R,5,0.825530519
50,75,R,5,0.821806163
100,25,C,4,0.893924062
100,50,C,4,0.875646338
100,75,C,4,0.873190378
150,25,C,4,0.855259621
150,75,C,4,0.850484298
150,50,C,4,0.845058300
50,25,C,5,0.821385903
50,50,C,5,0.846479502
50,75,C,5,0.827979571
100,25,L,4,0.952682902
100,50,L,4,0.922594115
100,75,L,4,0.932962908
150,25,L,4,0.921219194
150,50,L,4,0.951545548
150,75,L,4,0.944899793
50,25,L,4,0.852740953
50,50,L,4,0.876612896
50,75,L,5,0.928182089
150,25,R,4,0.765287358
100,25,R,5,0.886070440
100,50,R,5,0.855577845
100,75,R,5,0.861427644
150,50,R,5,0.867388335
150,75,R,5,0.896490536
50,25,R,5,0.803813989
50,50,R,5,0.836648929
50,75,R,5,0.834148761
100,25,C,4,0.841698801
100,50,C,4,0.855746143
100,75,C,4,0.843820399
150,25,C,4,0.843285903
150,75,C,4,0.892616703
150,50,C,4,0.885718103
50,25,C,5,0.835019740
50,50,C,5,0.816301776
50,75,C,5,0.830957920
100,25,L,4,0.914625037
100,50,L,4,0.915651128
100,75,L,4,0.915336801
150,25,L,4,0.948390576
150,50,L,4,0.941034437
150,75,L,4,0.933989102
50,25,L,4,0.828636381
50,50,L,4,0.861500960
50,75,L,5,0.913622830
150,25,R,4,0.836535004
100,25,R,5,0.867781011
100,50,R,5,0.887600453
100,75,R,5,0.855192324
150,50,R,5,0.894066010
150,75,R,5,0.877301821
50,25,R,5,0.840748723
50,50,R,5,0.799578439
50,75,R,5,0.818270087
100,25,C,4,0.852678254
100,50,C,4,0.822760386
100,75,C,4,0.831681254
150,25,C,4,0.823210469
150,75,C,4,0.880765768
150,50,C,4,0.898983617
50,25,C,5,0.827213815
50,50,C,5,0.811802138
50,75,C,5,0.826801199
100,25,L,4,0.943468630
100,50,L,4,0.930733201
100,75,L,4,0.930491883
150,25,L,4,0.933826793
150,50,L,4,0.916764635
150,75,L,4,0.949694746
50,25,L,4,0.873340493
50,50,L,4,0.861482364
50,75,L,5,0.909758012
150,25,R,4,0.831011341
100,25,R,5,0.858473620
100,50,R,5,0.855797169
100,75,R,5,0.873084310
150,50,R,5,0.874424015
150,75,R,5,0.890668693
50,25,R,5,0.807406984
50,50,R,5,0.820308218
50,75,R,5,0.809903193
100,25,C,4,0.863632712
100,50,C,4,0.842735592
100,75,C,4,0.845165311
150,25,C,4,0.850157192
150,75,C,4,0.845864424
150,50,C,4,0.859696103
50,25,C,5,0.843664841
50,50,C,5,0.849003617
50,75,C,5,0.824072657
100,25,L,4,0.927342771
100,50,L,4,0.926337830
100,75,L,4,0.932538115
150,25,L,4,0.933523987
150,50,L,4,0.928261757
150,75,L,4,0.934213545
50,25,L,4,0.860958691
50,50,L,4,0.841507035
50,75,L,5,0.922875083
150,25,R,4,0.836451871
100,25,R,5,0.859788519
100,50,R,5,0.870598860
100,75,R,5,0.883320570
150,50,R,5,0.881105130
150,75,R,5,0.884478076
50,25,R,5,0.822466500
50,50,R,5,0.836421732
50,75,R,5,0.784817039
100,25,C,4,0.846921314
100,50,C,4,0.864845808
100,75,C,4,0.842081443
150,25,C,4,0.890368371
150,75,C,4,0.865422854
150,50,C,4,0.858440351
50,25,C,5,0.851454182
50,50,C,5,0.832795759
50,75,C,5,0.820261047
100,25,L,4,0.932477867
100,50,L,4,0.941281761
100,75,L,4,0.926094273
150,25,L,4,0.927207329
150,50,L,4,0.947195036
150,75,L,4,0.925174041
50,25,L,4,0.860483049
50,50,L,4,0.865921894
50,75,L,5,0.916254117
150,25,R,4,0.805616483
100,25,R,5,0.872382138
100,50,R,5,0.891504564
100,75,R,5,0.882698902
150,50,R,5,0.879224228
150,75,R,5,0.879491389
50,25,R,5,0.834793112
50,50,R,5,0.831330187
50,75,R,5,0.816371872
100,25,C,4,0.892409550
100,50,C,4,0.871443003
100,75,C,4,0.857532216
150,25,C,4,0.797475764
150,75,C,4,0.876305319
150,50,C,4,0.845852754
50,25,C,5,0.831274577
50,50,C,5,0.816383811
50,75,C,5,0.850324315
100,25,L,4,0.911115434
100,50,L,4,0.922791203
100,75,L,4,0.913241863
150,25,L,4,0.961519856
150,50,L,4,0.932814210
150,75,L,4,0.935049400
50,25,L,4,0.856662373
50,50,L,4,0.867620816
50,75,L,5,0.909705352
150,25,R,4,0.773669778
100,25,R,5,0.877996019
100,50,R,5,0.869938944
100,75,R,5,0.872653530
150,50,R,5,0.884581473
150,75,R,5,0.900921159
50,25,R,5,0.820796316
50,50,R,5,0.839007567
50,75,R,5,0.833200396
100,25,C,4,0.859867635
100,50,C,4,0.848046006
100,75,C,4,0.874003871
150,25,C,4,0.868593586
150,75,C,4,0.887231054
150,50,C,4,0.887397283
50,25,C,5,0.839955184
50,50,C,5,0.822499166
50,75,C,5,0.844442255
100,25,L,4,0.932467542
100,50,L,4,0.930493984
100,75,L,4,0.922677473
150,25,L,4,0.910878034
150,50,L,4,0.944475608
150,75,L,4,0.941385236
50,25,L,4,0.871796062
50,50,L,4,0.850533333
50,75,L,5,0.920192414
150,25,R,4,0.777924753
100,25,R,5,0.873218853
100,50,R,5,0.847476269
100,75,R,5,0.872157197
150,50,R,5,0.883122812
150,75,R,5,0.866498118
50,25,R,5,0.805932606
50,50,R,5,0.840103158
50,75,R,5,0.827369150
100,25,C,4,0.830503103
100,50,C,4,0.814970404
100,75,C,4,0.868290958
150,25,C,4,0.837592850
150,75,C,4,0.818591917
150,50,C,4,0.848064352
50,25,C,5,0.829645308
50,50,C,5,0.844588087
50,75,C,5,0.824757856
100,25,L,4,0.944192644
100,50,L,4,0.919849778
100,75,L,4,0.927198756
150,25,L,4,0.936940044
150,50,L,4,0.932773008
150,75,L,4,0.937908149
50,25,L,4,0.868349332
50,50,L,4,0.853644420
50,75,L,5,0.912134760
150,25,R,4,0.823109746
100,25,R,5,0.844427994
100,50,R,5,0.855959834
100,75,R,5,0.890703203
150,50,R,5,0.861939126
150,75,R,5,0.876037950
50,25,R,5,0.791799388
50,50,R,5,0.824851946
50,75,R,5,0.816750004
100,25,C,4,0.859545296
